City,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Port Alfred,ZA,61.36,scattered clouds,-33.5906,26.891,
10,Cape Town,ZA,63.01,clear sky,-33.9258,18.4232,
20,Asfi,MA,69.69,broken clouds,32.2994,-9.2372,
31,Richards Bay,ZA,66.0,light rain,-28.783,32.0377,
39,Shimoda,JP,68.11,broken clouds,34.6667,138.95,
54,Castro,BR,63.41,overcast clouds,-24.7911,-50.0119,
65,Peniche,PT,67.62,overcast clouds,39.3558,-9.3811,
66,Tondano,ID,66.29,overcast clouds,1.3038,124.9112,
70,Albany,US,61.81,overcast clouds,42.6001,-73.9662,
74,Hasaki,JP,64.69,clear sky,35.7333,140.8333,
85,Kamnik,SI,61.75,light intensity shower rain,46.2259,14.6121,
88,Port Hawkesbury,CA,62.19,clear sky,45.6169,-61.3485,
94,Bundaberg,AU,64.22,clear sky,-24.85,152.35,
105,Menongue,AO,67.73,overcast clouds,-14.6585,17.691,
113,Kiboga,UG,63.39,overcast clouds,0.9161,31.7742,
115,Port Elizabeth,ZA,61.11,clear sky,-33.918,25.5701,
125,Lata,PT,64.04,clear sky,40.1629,-8.3327,
137,Yarim,YE,60.04,scattered clouds,14.298,44.3779,
143,San Jose Iturbide,MX,65.71,overcast clouds,21.0,-100.3833,
145,Faya,SA,68.11,overcast clouds,18.3851,42.4509,
155,Maymyo,MM,65.44,few clouds,22.0333,96.4667,
161,Huarmey,PE,67.08,scattered clouds,-10.0681,-78.1522,
169,Constitucion,CL,60.08,overcast clouds,-35.3333,-72.4167,
176,Yarmouth,US,61.18,mist,41.7057,-70.2286,
190,Bethel,US,64.49,overcast clouds,41.3712,-73.414,
191,Rocha,UY,61.83,clear sky,-34.4833,-54.3333,
194,Mahon,ES,68.56,scattered clouds,39.8885,4.2658,
202,Chapais,CA,64.18,clear sky,49.7834,-74.8492,
205,Cedar City,US,67.19,overcast clouds,37.6775,-113.0619,
206,Nizip,TR,62.73,clear sky,37.0097,37.7942,
215,Washougal,US,62.94,moderate rain,45.5826,-122.3534,
221,Saint-Philippe,RE,69.39,few clouds,-21.3585,55.7679,
225,Xam Nua,LA,65.16,overcast clouds,20.4197,104.0439,
227,Nantucket,US,60.94,overcast clouds,41.2835,-70.0995,
233,Whitianga,NZ,65.01,overcast clouds,-36.8333,175.7,
235,Saint-Pierre,RE,69.48,scattered clouds,-21.3393,55.4781,
237,Grand Bend,CA,67.96,broken clouds,43.3168,-81.7498,
239,Pisco,PE,68.05,few clouds,-13.7,-76.2167,
241,Luzhou,CN,69.93,light rain,28.8724,105.4405,
252,Adelaide,AU,60.19,clear sky,-34.9333,138.6,
254,Neuquen,AR,64.29,scattered clouds,-38.9516,-68.0591,
257,Shingu,JP,64.63,scattered clouds,33.7333,135.9833,
259,Along,IN,67.53,few clouds,28.1667,94.7667,
260,Colares,PT,68.29,few clouds,38.7992,-9.4469,
262,Nichinan,JP,67.91,clear sky,31.6,131.3667,
269,Mbandaka,CD,69.39,overcast clouds,0.0487,18.2603,
284,Ahipara,NZ,64.36,overcast clouds,-35.1667,173.1667,
291,Ngunguru,NZ,63.16,overcast clouds,-35.6167,174.5,
296,Beloha,MG,64.29,clear sky,-25.1667,45.05,
306,Iquique,CL,64.44,overcast clouds,-20.2208,-70.1431,
308,East London,ZA,60.55,scattered clouds,-33.0153,27.9116,
315,San Roque,ES,67.03,few clouds,36.2107,-5.3842,
331,Filadelfia,US,67.89,overcast clouds,39.9523,-75.1638,
333,Abu Samrah,SY,64.78,clear sky,35.3029,37.1841,
335,Seoul,KR,69.31,broken clouds,37.5683,126.9778,
338,Corinto,GR,66.76,clear sky,37.9407,22.9573,
