City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,State College,US,40.7934,-77.86,75.99,51,95,1.01,overcast clouds
1,Barrow,US,71.2906,-156.7887,30.22,80,90,18.41,overcast clouds
2,Pangnirtung,CA,66.1451,-65.7125,35.6,87,20,0.0,few clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,71.76,81,91,11.54,overcast clouds
4,Upernavik,GL,72.7868,-56.1549,29.64,76,61,4.83,broken clouds
5,Narsaq,GL,60.9167,-46.05,47.46,49,7,9.46,clear sky
6,Changqing,CN,36.5575,116.7272,73.56,74,100,10.07,overcast clouds
7,Vila Velha,BR,-20.3297,-40.2925,82.94,78,20,21.85,few clouds
8,Camacha,PT,33.0833,-16.3333,70.54,73,75,9.22,broken clouds
9,Gua Musang,MY,4.8823,101.9644,73.36,93,100,1.99,overcast clouds
10,Caravelas,BR,-17.7125,-39.2481,78.44,76,0,12.24,clear sky
11,Kysyl-Syr,RU,63.8986,122.7617,26.29,82,27,3.94,scattered clouds
12,Nikolskoye,RU,59.7035,30.7861,47.01,90,99,5.01,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,44.26,65,75,13.8,light rain
14,Hithadhoo,MV,-0.6,73.0833,82.45,76,9,11.61,clear sky
15,Thompson,CA,55.7435,-97.8558,55.56,76,75,3.44,broken clouds
16,Sun City West,US,33.662,-112.3413,92.82,23,1,3.0,clear sky
17,Ahipara,NZ,-35.1667,173.1667,58.68,84,100,11.16,overcast clouds
18,Atuona,PF,-9.8,-139.0333,77.97,75,27,22.28,scattered clouds
19,Severo-Kurilsk,RU,50.6789,156.125,47.35,97,100,26.66,moderate rain
20,Kapaa,US,22.0752,-159.319,80.11,69,4,3.0,clear sky
21,Hamakita,JP,34.8,137.7833,66.06,71,0,5.35,clear sky
22,Itarema,BR,-2.9248,-39.9167,81.46,70,15,17.63,few clouds
23,Busselton,AU,-33.65,115.3333,50.09,58,100,15.93,overcast clouds
24,Port Hardy,CA,50.6996,-127.4199,51.8,100,75,5.75,light rain
25,Hobart,AU,-42.8794,147.3294,53.46,98,90,9.22,drizzle
26,Mount Hagen,PG,-5.8581,144.2274,61.56,94,75,0.0,light rain
27,Longyearbyen,SJ,78.2186,15.6401,37.24,87,75,6.91,light rain
28,Sur,OM,22.5667,59.5289,83.84,73,100,12.57,overcast clouds
29,Carnarvon,AU,-24.8667,113.6333,59.07,82,64,8.05,broken clouds
30,Okato,NZ,-39.2,173.8833,50.41,82,100,8.88,overcast clouds
31,Rikitea,PF,-23.1203,-134.9692,73.24,71,30,23.26,light rain
32,Ilulissat,GL,69.2167,-51.1,23.27,93,98,3.44,overcast clouds
33,Khatanga,RU,71.9667,102.5,17.65,98,59,2.84,broken clouds
34,Cape Town,ZA,-33.9258,18.4232,55.09,61,40,8.05,scattered clouds
35,Avarua,CK,-21.2078,-159.775,75.25,88,90,5.75,light rain
36,Chapais,CA,49.7834,-74.8492,55.18,47,27,5.88,scattered clouds
37,Padang,ID,-0.9492,100.3543,78.22,82,100,2.59,overcast clouds
38,Albany,US,42.6001,-73.9662,75.67,64,64,8.16,broken clouds
39,Punta Arenas,CL,-53.15,-70.9167,48.31,61,75,19.57,light rain
40,Forbes,AU,-33.3833,148.0167,52.92,95,62,4.0,broken clouds
41,Balakhta,RU,55.38,91.6,37.67,72,99,13.31,overcast clouds
42,Tilichiki,RU,60.4667,166.1,34.72,88,100,4.52,overcast clouds
43,Norman Wells,CA,65.282,-126.8329,42.84,70,75,5.75,broken clouds
44,Port Alfred,ZA,-33.5906,26.891,55.54,63,64,25.72,broken clouds
45,Isangel,VU,-19.55,169.2667,73.51,88,100,6.91,overcast clouds
46,Vaini,TO,-21.2,-175.2,73.56,88,75,11.5,light rain
47,Puerto Escondido,MX,15.85,-97.0667,85.14,74,35,7.25,scattered clouds
