City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lewiston,US,44.1003,-70.2148,58.8,76,90,3.44,overcast clouds
1,Kalmunai,LK,7.4167,81.8167,80.82,78,78,2.75,light rain
2,Bluff,NZ,-46.6,168.3333,47.8,82,90,20.74,overcast clouds
3,Inhambane,MZ,-23.865,35.3833,75.18,73,20,0.0,few clouds
4,Pangai,TO,-19.8,-174.35,77.11,69,75,13.8,broken clouds
5,Avarua,CK,-21.2078,-159.775,68.05,100,5,2.3,clear sky
6,Port Alfred,ZA,-33.5906,26.891,65.68,90,100,19.42,light rain
7,Iskateley,RU,67.6803,53.1512,34.84,78,100,5.66,overcast clouds
8,Taoudenni,ML,22.6783,-3.9836,106.29,9,22,15.39,few clouds
9,Nikolskoye,RU,59.7035,30.7861,45.79,85,2,4.59,clear sky
10,Marsh Harbour,BS,26.5412,-77.0636,81.45,70,6,13.29,clear sky
11,Rio Grande,BR,-32.035,-52.0986,68.11,77,89,24.02,overcast clouds
12,Vanimo,PG,-2.6741,141.3028,77.2,89,100,1.5,overcast clouds
13,Kodiak,US,57.79,-152.4072,45.91,76,90,12.66,light rain
14,Datong,CN,40.0936,113.2914,54.61,39,1,6.51,clear sky
15,Puerto Armuelles,PA,8.2833,-82.8667,86.83,75,32,7.31,scattered clouds
16,Busselton,AU,-33.65,115.3333,60.04,88,29,15.1,light rain
17,Noumea,NC,-22.2763,166.4572,73.99,99,47,8.86,scattered clouds
18,Biak,ID,-0.9131,122.8766,76.44,85,61,5.99,broken clouds
19,Tual,ID,-5.6667,132.75,81.59,83,84,12.53,broken clouds
20,Arys,KZ,42.4252,68.795,55.62,38,0,6.87,clear sky
21,Georgetown,MY,5.4112,100.3354,82.33,92,40,0.0,scattered clouds
22,Richards Bay,ZA,-28.783,32.0377,67.59,76,92,9.62,overcast clouds
23,Teknaf,BD,20.8624,92.3058,78.89,88,15,4.88,few clouds
24,Kapuskasing,CA,49.4169,-82.4331,55.49,62,20,2.3,few clouds
25,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,78,20,16.11,few clouds
26,Guadalupe Y Calvo,MX,26.1,-106.9667,65.84,29,0,6.91,clear sky
27,Ushuaia,AR,-54.8,-68.3,46.02,49,40,10.36,light rain
28,Adelanto,US,34.5828,-117.4092,79.59,17,0,12.1,clear sky
29,Qaanaaq,GL,77.484,-69.3632,26.69,74,100,11.25,overcast clouds
30,Lisakovsk,KZ,52.5369,62.4936,37.4,65,75,6.2,broken clouds
31,Jamestown,US,42.097,-79.2353,59.34,73,90,5.99,overcast clouds
32,Rikitea,PF,-23.1203,-134.9692,72.68,68,46,21.52,scattered clouds
33,Severo-Kurilsk,RU,50.6789,156.125,47.34,94,100,19.19,light rain
34,San Andres,CO,12.5847,-81.7006,87.82,70,40,9.22,scattered clouds
35,Puerto Ayora,EC,-0.7393,-90.3518,76.96,80,80,8.99,broken clouds
36,Nanortalik,GL,60.1432,-45.2371,37.02,53,4,8.12,clear sky
37,Onega,RU,63.9061,38.1404,43.63,93,68,4.16,broken clouds
38,Bredasdorp,ZA,-34.5322,20.0403,60.12,77,63,12.66,broken clouds
39,Mastic Beach,US,40.7668,-72.8521,66.24,61,75,3.0,broken clouds
40,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.35,76,75,29.93,broken clouds
41,Fort Frances,CA,48.5999,-93.4003,75.16,67,1,0.0,clear sky
42,Pangnirtung,CA,66.1451,-65.7125,30.2,100,90,9.22,overcast clouds
43,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.96,87,90,20.71,overcast clouds
44,Punta Arenas,CL,-53.15,-70.9167,46.42,49,75,24.16,broken clouds
45,Hobart,AU,-42.8794,147.3294,54.1,95,90,1.01,mist
46,Gaoual,GN,11.75,-13.2,82.24,83,27,3.0,light rain
47,Albany,US,42.6001,-73.9662,59.74,66,59,7.65,broken clouds
48,Gallup,US,35.5281,-108.7426,52.56,86,90,1.99,overcast clouds
49,Quesnel,CA,52.9999,-122.5029,57.7,54,1,12.66,clear sky
50,Mar Del Plata,AR,-38.0023,-57.5575,60.01,63,90,5.01,moderate rain
51,Bayji,IQ,34.9311,43.487,83.35,26,0,8.88,clear sky
52,Hermanus,ZA,-34.4187,19.2345,65.89,89,21,13.89,few clouds
53,Los Llanos De Aridane,ES,28.6585,-17.9182,74.12,79,75,19.57,broken clouds
54,Shakawe,BW,-18.3667,21.85,81.88,24,64,2.93,broken clouds
55,Khatanga,RU,71.9667,102.5,29.77,98,100,8.03,overcast clouds
56,Buraydah,SA,26.326,43.975,90.05,12,1,3.96,clear sky
57,Iquique,CL,-20.2208,-70.1431,66.24,67,4,4.18,clear sky
58,Touros,BR,-5.1989,-35.4608,86.9,66,19,15.68,few clouds
59,Vaini,TO,-21.2,-175.2,68.16,94,90,4.61,light rain
60,Dom Pedrito,BR,-30.9828,-54.6731,71.15,84,100,11.95,moderate rain
61,Olafsvik,IS,64.8945,-23.7142,44.6,72,100,25.39,overcast clouds
62,Sola,VU,-13.8833,167.55,79.54,81,87,22.7,light rain
63,Mataura,NZ,-46.1927,168.8643,47.48,89,100,4.23,overcast clouds
64,Coihueco,CL,-36.6167,-71.8333,56.14,62,75,5.75,broken clouds
65,Saint-Philippe,RE,-21.3585,55.7679,72.99,80,42,12.26,scattered clouds
66,Ayagoz,KZ,47.9714,80.4392,51.73,36,100,20.67,light rain
67,Ballina,AU,-28.8667,153.5667,64.36,88,40,10.36,light rain
68,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,40,13.8,scattered clouds
69,Ribeira Grande,PT,38.5167,-28.7,77.4,78,20,9.22,mist
70,Arlit,NE,18.7369,7.3853,94.91,10,37,12.21,scattered clouds
71,Lompoc,US,34.6391,-120.4579,88.12,32,1,5.75,clear sky
72,Saint George,US,37.1041,-113.5841,73.87,21,1,3.0,clear sky
73,Cidreira,BR,-30.1811,-50.2056,66.34,75,84,23.89,broken clouds
74,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,19,0,26.46,clear sky
75,Udachnyy,RU,66.4167,112.4,30.72,61,53,4.47,broken clouds
76,Adrar,MR,20.5022,-10.0711,99.25,7,0,7.63,clear sky
77,Castro,BR,-24.7911,-50.0119,80.31,43,32,6.93,scattered clouds
78,Atuona,PF,-9.8,-139.0333,77.92,72,40,20.74,scattered clouds
79,Kochki,RU,54.3358,80.4806,38.77,98,100,6.71,overcast clouds
80,Shirokiy,RU,49.758,129.523,36.5,87,59,7.05,broken clouds
81,Pangoa,PE,-12.1167,-73.0,90.14,39,73,6.46,broken clouds
82,Siyabuswa,ZA,-25.1132,29.0445,65.93,67,9,16.06,clear sky
83,Mahebourg,MU,-20.4081,57.7,72.25,78,40,13.8,scattered clouds
84,Chuy,UY,-33.6971,-53.4616,63.52,76,85,16.64,moderate rain
85,San Cristobal,VE,7.7669,-72.225,77.18,66,86,4.05,overcast clouds
86,Tornio,FI,65.8481,24.1466,46.42,85,100,7.14,overcast clouds
87,Bengkulu,ID,-3.8004,102.2655,75.49,87,98,3.24,overcast clouds
88,Treviglio,IT,45.5238,9.5895,71.65,68,20,2.3,few clouds
89,Acushnet,US,41.6807,-70.9078,63.28,62,75,5.99,broken clouds
90,North Platte,US,41.1239,-100.7654,62.49,66,90,5.99,overcast clouds
91,Neftcala,AZ,39.3742,49.2472,64.56,73,100,24.96,overcast clouds
92,Half Moon Bay,US,37.4636,-122.4286,81.14,59,1,0.0,clear sky
93,Hithadhoo,MV,-0.6,73.0833,82.27,71,24,2.48,few clouds
94,Boyolangu,ID,-8.1181,111.8935,74.37,93,49,5.26,scattered clouds
95,Pisco,PE,-13.7,-76.2167,67.01,77,0,10.36,clear sky
96,Meulaboh,ID,4.1363,96.1285,76.5,90,100,6.87,light rain
97,Hualmay,PE,-11.0964,-77.6139,68.85,72,46,11.63,scattered clouds
98,Cherskiy,RU,68.75,161.3,9.5,99,93,5.21,overcast clouds
99,Dikson,RU,73.5069,80.5464,33.73,84,100,24.0,overcast clouds
100,College,US,64.8569,-147.8028,26.8,81,75,4.61,broken clouds
101,Faanui,PF,-16.4833,-151.75,79.48,70,10,18.23,clear sky
102,Tiksi,RU,71.6872,128.8694,30.78,74,100,4.92,overcast clouds
103,Barahona,DO,18.2085,-71.1008,89.42,66,20,11.5,few clouds
104,Bilma,NE,18.6853,12.9164,91.49,7,0,7.9,clear sky
105,Verkhnyaya Inta,RU,65.9811,60.3094,36.09,74,83,5.97,broken clouds
106,Klang,MY,3.0333,101.45,80.74,83,20,1.14,few clouds
107,Miri,MY,4.4148,114.0089,78.94,89,40,1.14,scattered clouds
108,Neryungri,RU,56.6709,124.6491,19.83,98,99,3.76,overcast clouds
109,Barrow,US,71.2906,-156.7887,28.42,74,90,8.05,haze
110,Lorengau,PG,-2.0226,147.2712,80.83,80,99,8.48,heavy intensity rain
111,Lagoa,PT,39.05,-27.9833,71.82,79,14,5.75,few clouds
112,Codrington,AU,-38.2667,141.9667,54.93,94,100,18.54,overcast clouds
113,Yinchuan,CN,38.4681,106.2731,68.59,18,38,3.13,scattered clouds
114,Kahului,US,20.8947,-156.47,75.22,91,40,10.36,light rain
115,Kapaa,US,22.0752,-159.319,76.98,81,75,13.8,light rain
116,Saskylakh,RU,71.9167,114.0833,19.49,94,98,2.73,overcast clouds
117,Cape Town,ZA,-33.9258,18.4232,66.61,59,0,12.66,clear sky
118,Koumac,NC,-20.5667,164.2833,69.67,86,14,5.26,few clouds
119,Rio Gallegos,AR,-51.6226,-69.2181,51.85,28,40,23.02,scattered clouds
120,Dunedin,NZ,-45.8742,170.5036,46.8,74,44,11.23,scattered clouds
121,Fort Nelson,CA,58.8053,-122.7002,36.99,100,90,4.61,mist
122,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.89,78,39,9.55,scattered clouds
123,Tiarei,PF,-17.5333,-149.3333,78.82,76,10,18.43,clear sky
124,Masunga,BW,-20.6246,27.4488,75.72,39,85,9.42,overcast clouds
125,Warah,PK,27.4481,67.7978,84.47,69,80,11.39,broken clouds
126,Chokurdakh,RU,70.6333,147.9167,14.13,92,29,9.37,scattered clouds
127,Filadelfia,US,39.9523,-75.1638,71.19,49,40,4.0,scattered clouds
128,Holme,DK,56.1138,10.1725,52.75,84,99,14.45,overcast clouds
129,Ostrovnoy,RU,68.0531,39.5131,43.07,87,75,3.06,broken clouds
130,Butaritari,KI,3.0707,172.7902,81.73,74,99,12.08,overcast clouds
131,Vila,PT,42.0304,-8.1588,63.34,53,37,2.57,scattered clouds
132,Bardiyah,LY,31.7561,25.0865,75.11,61,0,17.49,clear sky
133,Songjianghe,CN,42.1859,127.479,48.9,91,100,2.77,overcast clouds
134,East London,ZA,-33.0153,27.9116,65.34,94,75,11.5,light rain
135,Upernavik,GL,72.7868,-56.1549,32.7,77,100,10.22,overcast clouds
136,Nador,MA,35.174,-2.9287,75.27,83,75,4.61,broken clouds
137,Uruzgan,AF,32.8333,66.0,70.38,19,5,1.07,clear sky
