City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chulumani,BO,2021-09-26 15:26:23,-16.4096,-67.5263,82.0,40,16,4.79
1,Chokurdakh,RU,2021-09-26 15:26:23,70.6333,147.9167,32.72,97,100,19.46
2,Dunedin,NZ,2021-09-26 15:26:24,-45.8742,170.5036,36.81,83,27,5.53
3,Lebu,CL,2021-09-26 15:26:24,-37.6167,-73.65,52.09,58,10,15.28
4,Vaini,TO,2021-09-26 15:26:24,-21.2,-175.2,66.36,100,75,0.0
5,Mataura,NZ,2021-09-26 15:26:25,-46.1927,168.8643,38.48,97,9,1.63
6,Luau,AO,2021-09-26 15:26:25,-10.7073,22.2247,90.91,17,49,2.59
7,Bambous Virieux,MU,2021-09-26 15:26:26,-20.3428,57.7575,71.85,88,75,14.97
8,Port Alfred,ZA,2021-09-26 15:26:26,-33.5906,26.891,67.17,83,23,11.61
9,Salalah,OM,2021-09-26 15:26:27,17.0151,54.0924,82.49,94,40,9.22
10,Rehti,IN,2021-09-26 15:26:27,22.7333,77.4333,81.34,83,91,1.59
11,Orange Cove,US,2021-09-26 15:23:00,36.6244,-119.3137,65.82,88,1,0.0
12,Batagay-Alyta,RU,2021-09-26 15:26:28,67.8006,130.4114,26.01,89,88,3.71
13,Coihaique,CL,2021-09-26 15:26:28,-45.5752,-72.0662,47.01,53,75,4.61
14,Victoria,HK,2021-09-26 15:23:19,22.2855,114.1577,85.32,77,72,1.01
15,Hambantota,LK,2021-09-26 15:26:29,6.1241,81.1185,75.54,100,20,12.66
16,Souillac,MU,2021-09-26 15:26:29,-20.5167,57.5167,71.98,88,75,14.97
17,Castro,BR,2021-09-26 15:26:30,-24.7911,-50.0119,82.89,38,0,9.51
18,Kodiak,US,2021-09-26 15:26:30,57.79,-152.4072,42.31,75,90,8.05
19,Cape Town,ZA,2021-09-26 15:26:30,-33.9258,18.4232,73.81,46,0,5.75
20,Penticton,CA,2021-09-26 15:26:31,49.4806,-119.5858,63.59,62,75,3.44
21,Teguise,ES,2021-09-26 15:26:31,29.0605,-13.564,71.82,78,20,20.71
22,Yulara,AU,2021-09-26 15:26:32,-25.2406,130.9889,75.04,14,99,6.91
23,Hermanus,ZA,2021-09-26 15:25:21,-34.4187,19.2345,64.31,76,49,7.54
